event,event_size,datetime,event_label
http://www.theguardian.com/football/1999/aug/01/newsstory.sport15#autobiographyEvent,6,1999-08-01,autobiography
http://www.theguardian.com/football/1999/aug/01/newsstory.sport15#replaceEvent,11,1999-08-01,replace
http://www.theguardian.com/football/1999/aug/01/newsstory.sport15#unwindingEvent,6,1999-08-01,unwinding
http://www.theguardian.com/football/1999/aug/01/newsstory.sport15#askEvent,15,1999-08-01,ask
http://www.theguardian.com/football/1999/aug/01/newsstory.sport15#playEvent,23,1999-08-01,play
http://www.theguardian.com/football/1999/aug/01/newsstory.sport15#signEvent,16,1999-08-01,sign
http://www.theguardian.com/football/1999/aug/03/newsstory.sport8#signEvent,22,1999-08-03,sign
http://www.theguardian.com/football/1999/nov/29/thefiver.sport#opponentEvent,6,1999-11-29,opponent
http://www.theguardian.com/football/2000/jan/23/sport.comment1#playEvent,15,2000-01-23,play
http://www.theguardian.com/football/2000/jan/23/sport.comment1#hearEvent,5,2000-01-23,hear
http://www.theguardian.com/football/2000/jan/24/newsstory.sport9#doEvent,6,2000-01-24,do
http://www.theguardian.com/football/2000/jan/24/newsstory.sport9#leadEvent,6,2000-01-24,lead
http://www.theguardian.com/football/2000/apr/03/match.sport7#dismissEvent,8,2000-04-03,dismiss
http://www.theguardian.com/football/2000/apr/03/match.sport7#endEvent,12,2000-04-03,end
http://www.theguardian.com/football/2000/aug/24/thefiver.sport#pushEvent,10,2000-08-24,push
http://www.theguardian.com/football/2000/sep/03/sport.comment1#reflectEvent,6,2000-09-03,reflect
http://www.theguardian.com/football/2000/sep/03/sport.comment1#concludeEvent,7,2000-09-03,conclude
http://www.theguardian.com/football/2001/may/22/newsstory.sport4#haveEvent,12,2001-05-22,have
http://www.theguardian.com/football/2001/sep/27/thefiver.sport#chestEvent,5,2001-09-27,chest
http://www.theguardian.com/football/2001/sep/27/thefiver.sport#admitEvent,9,2001-09-27,admit
