event,event_size,datetime,actor
http://www.theguardian.com/football/blog/2010/jan/02/england-2018-bid-south-africa-2010#durabilityEvent,21,2010-01-02,http://dbpedia.org/resource/David_Beckham
http://www.theguardian.com/football/2010/jan/02/fa-cup-third-round-clockwatch#haveEvent,534,2010-01-02,http://dbpedia.org/resource/Jermain_Defoe
http://www.theguardian.com/football/2010/jan/02/fa-cup-third-round-clockwatch#equaliseEvent,34,2010-01-02,http://dbpedia.org/resource/Kevin-Prince_Boateng
http://www.theguardian.com/football/2010/jan/02/fa-cup-third-round-clockwatch#goEvent,78,2010-01-02,http://dbpedia.org/resource/Kevin-Prince_Boateng
http://www.theguardian.com/football/blog/2010/jan/02/england-2018-bid-south-africa-2010#maintainEvent,33,2010-01-02,http://dbpedia.org/resource/Aaron_Lennon
http://www.theguardian.com/football/2010/jan/02/fa-cup-third-round-clockwatch#blazeEvent,12,2010-01-02,http://dbpedia.org/resource/Robert_Earnshaw
http://www.theguardian.com/football/2010/jan/02/fa-cup-third-round-clockwatch#surviveEvent,26,2010-01-02,http://dbpedia.org/resource/Rory_Delap
http://www.newsreader-project.eu/LNdata/hackathon/2010/01/02/7XFR-B5N1-2R6B-N1FH.xml#suggestEvent,5,2010-01-02,http://dbpedia.org/resource/Kris_Boyd
http://www.theguardian.com/football/2010/jan/02/fa-cup-third-round-clockwatch#handEvent,22,2010-01-02,http://dbpedia.org/resource/Paul_Hayes
http://www.theguardian.com/football/2010/jan/02/fa-cup-third-round-clockwatch#scoreEvent,42,2010-01-02,http://dbpedia.org/resource/Scott_Sinclair
http://www.newsreader-project.eu/LNdata/hackathon/2010/01/02/7XFR-B5N1-2R6B-N1FH.xml#angerEvent,8,2010-01-02,http://dbpedia.org/resource/Didier_Drogba
http://www.newsreader-project.eu/LNdata/hackathon/2010/01/02/7XG5-1920-Y958-C0H9.xml#sayEvent,13,2010-01-02,http://dbpedia.org/resource/Didier_Drogba
http://www.newsreader-project.eu/LNdata/hackathon/2010/01/02/7XH9-1831-2PWG-953D.xml#buyEvent,14,2010-01-02,http://dbpedia.org/resource/Karim_Benzema
http://www.theguardian.com/football/2010/jan/02/fa-cup-third-round-clockwatch#putEvent,138,2010-01-02,http://dbpedia.org/resource/Bobby_Zamora
http://www.newsreader-project.eu/LNdata/hackathon/2010/01/02/7XH9-1831-2PWG-953D.xml#buyEvent,14,2010-01-02,http://dbpedia.org/resource/Ronaldo
http://www.newsreader-project.eu/LNdata/hackathon/2010/01/02/7XGJ-8SH0-Y9KG-Y1P1.xml#doEvent,21,2010-01-02,http://dbpedia.org/resource/Obafemi_Martins
http://www.newsreader-project.eu/LNdata/hackathon/2010/01/02/7XGJ-8SH0-Y9KG-Y1P1.xml#martinEvent,5,2010-01-02,http://dbpedia.org/resource/Obafemi_Martins
http://www.newsreader-project.eu/LNdata/hackathon/2010/01/02/7XFR-B5N1-2R6B-N1FH.xml#sitEvent,9,2010-01-02,http://dbpedia.org/resource/Allan_McGregor
http://www.newsreader-project.eu/LNdata/hackathon/2010/01/02/7XH9-1831-2PWG-953D.xml#earnEvent,6,2010-01-02,http://dbpedia.org/resource/David_Beckham
http://www.theguardian.com/football/2010/jan/02/fa-cup-third-round-clockwatch#sendEvent,16,2010-01-02,http://dbpedia.org/resource/El_Hadji_Diouf
