,event,event_size,datetime,actor
1,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/30/7XNN-V0B0-Y9NR-001D.xml#chargeEvent,8,30/01/2010,http://dbpedia.org/resource/John_Terry
2,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/30/7XNN-V0B0-Y9NR-001D.xml#claimEvent,8,30/01/2010,http://dbpedia.org/resource/John_Terry
3,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/30/7XNN-V0B0-Y9NR-001D.xml#clearEvent,6,30/01/2010,http://dbpedia.org/resource/John_Terry
4,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/30/7XNN-V0B0-Y9NR-001D.xml#debutEvent,6,30/01/2010,http://dbpedia.org/resource/John_Terry
5,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/30/7XNN-V0B0-Y9NR-001D.xml#endorsementEvent,7,30/01/2010,http://dbpedia.org/resource/John_Terry
6,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/30/7XNN-V0B0-Y9NR-001D.xml#errorEvent,5,30/01/2010,http://dbpedia.org/resource/John_Terry
7,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/30/7XNN-V0B0-Y9NR-001D.xml#friendEvent,5,30/01/2010,http://dbpedia.org/resource/John_Terry
8,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/30/7XNN-V0B0-Y9NR-001D.xml#impactEvent,5,30/01/2010,http://dbpedia.org/resource/John_Terry
9,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/30/7XNN-V0B0-Y9NR-001D.xml#infidelityEvent,5,30/01/2010,http://dbpedia.org/resource/John_Terry
10,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/30/7XNN-V0B0-Y9NR-001D.xml#involveEvent,7,30/01/2010,http://dbpedia.org/resource/John_Terry
11,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/30/7XNN-V0B0-Y9NR-001D.xml#leadEvent,7,30/01/2010,http://dbpedia.org/resource/John_Terry
12,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/30/7XNN-V0B0-Y9NR-001D.xml#remainEvent,11,30/01/2010,http://dbpedia.org/resource/John_Terry
13,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/30/7XNN-V0B0-Y9NR-001D.xml#sendEvent,8,30/01/2010,http://dbpedia.org/resource/John_Terry
14,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/30/7XNN-V0B0-Y9NR-001D.xml#tourEvent,39,30/01/2010,http://dbpedia.org/resource/John_Terry
15,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/30/7XNN-V0B0-Y9NR-001D.xml#undermineEvent,5,30/01/2010,http://dbpedia.org/resource/John_Terry
16,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/30/7XNP-4030-YB39-006W.xml#stripEvent,10,30/01/2010,http://dbpedia.org/resource/John_Terry
17,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/30/7XNN-YDY1-2RP6-W0RD.xml#fireEvent,15,30/01/2010,http://dbpedia.org/resource/Mark_Bosnich
18,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/30/7XNN-YDY1-2RP6-W0RD.xml#nameEvent,15,30/01/2010,http://dbpedia.org/resource/Mark_Bosnich
